CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?,datetime
"<a href=""CME0144/CME.html"" target=""_blank"" >0144</a>",2025/02/28 19:12,01,158,014,1812,0839,0336,1952,,2025-02-28 19:12:00
"<a href=""CME0143/CME.html"" target=""_blank"" >0143</a>",2025/02/28 18:00,00,037,012,0459,0168,0182,0625,,2025-02-28 18:00:00
"<a href=""CME0142/CME.html"" target=""_blank"" >0142</a>",2025/02/28 17:24,01,224,062,0304,0095,0106,0452,,2025-02-28 17:24:00
"<a href=""CME0141/CME.html"" target=""_blank"" >0141</a>",2025/02/28 17:12,01,276,146,1157,0241,0624,1615,II,2025-02-28 17:12:00
"<a href=""CME0140/CME.html"" target=""_blank"" >0140</a>",2025/02/28 02:24,01,023,028,0208,0037,0160,0281,,2025-02-28 02:24:00
"<a href=""CME0139/CME.html"" target=""_blank"" >0139</a>",2025/02/27 22:00,04,038,026,0154,0058,0103,0299,,2025-02-27 22:00:00
"<a href=""CME0138/CME.html"" target=""_blank"" >0138</a>",2025/02/27 19:12,04,042,050,0241,0081,0158,0434,,2025-02-27 19:12:00
"<a href=""CME0137/CME.html"" target=""_blank"" >0137</a>",2025/02/27 11:48,01,266,006,0328,0050,0244,0367,,2025-02-27 11:48:00
"<a href=""CME0136/CME.html"" target=""_blank"" >0136</a>",2025/02/27 11:24,03,220,050,0431,0117,0198,0724,,2025-02-27 11:24:00
"<a href=""Flow0027/CME.html"" target=""_blank"" >0027</a>",2025/02/28 23:30,02,312,026,0361,0105,0228,0558,,2025-02-28 23:30:00
"<a href=""Flow0026/CME.html"" target=""_blank"" >0026</a>",2025/02/28 20:12,06,236,054,0141,0194,0103,0651,,2025-02-28 20:12:00
"<a href=""Flow0025/CME.html"" target=""_blank"" >0025</a>",2025/02/28 18:40,01,076,078,1893,0000,1893,1893,,2025-02-28 18:40:00
"<a href=""Flow0024/CME.html"" target=""_blank"" >0024</a>",2025/02/28 08:00,01,032,010,0391,0231,0249,0844,,2025-02-28 08:00:00
"<a href=""Flow0023/CME.html"" target=""_blank"" >0023</a>",2025/02/28 04:36,01,322,018,0260,0020,0224,0290,,2025-02-28 04:36:00
"<a href=""Flow0022/CME.html"" target=""_blank"" >0022</a>",2025/02/27 15:24,01,268,006,0268,0055,0209,0347,,2025-02-27 15:24:00
"<a href=""CME0162/CME.html"" target=""_blank"" >0162</a>",2025/03/31 20:36,01,317,012,0254,0037,0208,0309,,2025-03-31 20:36:00
"<a href=""CME0161/CME.html"" target=""_blank"" >0161</a>",2025/03/31 12:12,01,321,020,0172,0022,0143,0209,,2025-03-31 12:12:00
"<a href=""CME0160/CME.html"" target=""_blank"" >0160</a>",2025/03/31 09:24,01,040,010,0433,0048,0347,0488,,2025-03-31 09:24:00
"<a href=""CME0159/CME.html"" target=""_blank"" >0159</a>",2025/03/31 07:36,03,091,008,0181,0031,0128,0205,,2025-03-31 07:36:00
